id,lat,lon,dia,diasd,mare,insSPA
01-1-000000,61.0386,188.026,13.5213,0.783893,0,0
01-1-000001,60.989,185.595,13.0119,0.151797,0,0
01-1-000002,60.8108,183.046,27.2383,0.610923,0,0
01-1-000005,61.2535,178.486,20.4314,0.762848,0,0
01-1-000007,60.942,176.478,10.5378,0.098037,0,0
01-1-000008,61.894,180.175,14.0578,0.314689,0,0
01-1-000009,61.5267,173.07,14.2656,0.187924,0,0
01-1-000010,60.8844,165.81,17.3539,0.345793,0,0
01-1-000011,61.2513,166.653,12.0913,0.4956,0,0
01-1-000012,60.5429,160.113,10.7721,0.333497,0,0
01-1-000014,61.0881,161.596,11.7217,0.264264,0,0
01-1-000015,61.1596,157.334,18.6929,0.335791,0,0
01-1-000017,60.9464,163.512,11.0896,0.184218,0,0
01-1-000019,61.5794,165.132,11.8502,0.179454,0,0
01-1-000020,61.4953,168.617,11.6309,0.400495,0,0
01-1-000023,63.3086,171.441,11.5848,0.29189,0,0
01-1-000027,62.8265,177.193,14.5861,0.683581,0,0
01-1-000030,63.3087,179.725,14.2857,0.228073,0,0
01-1-000031,63.1586,184.163,23.9923,0.816731,0,0
01-1-000032,62.9907,188.895,19.1243,0.390788,0,0
01-1-000033,61.9458,189.465,11.5765,0.390488,0,0
01-1-000034,62.5659,190.594,10.6494,0.311632,0,0
01-1-000035,62.2349,192.972,16.1007,0.272919,0,0
01-1-000036,62.035,197.077,22.691,0.538268,1,0
01-1-000037,61.7687,198.048,26.9385,0.479322,0,0
01-1-000038,60.5461,201.538,14.1778,0.184657,0,0
01-1-000039,60.224,202.778,14.348,0.545933,0,0
01-1-000042,62.0534,199.194,10.1182,0.22345,0,0
01-1-000044,62.692,196.63,10.2426,0.230191,0,0
01-1-000045,63.0131,194.513,12.7017,0.160888,0,0
01-1-000046,63.6221,194.157,11.5742,0.188095,0,0
01-1-000048,64.245,183.514,13.2911,0.391121,0,0
01-1-000050,63.0117,181.065,18.1349,0.946038,0,0
01-1-000051,63.2202,181.541,24.8518,0.676312,0,0
01-1-000052,63.5505,179.886,10.3823,0.140777,0,0
01-1-000057,64.4658,180.671,14.4263,0.310183,0,0
01-1-000060,64.5669,175.392,14.4478,0.379811,0,0
01-1-000061,64.384,172.527,16.4755,0.251328,1,0
01-1-000062,63.8351,170.128,17.7949,0.51441,0,0
01-1-000063,63.2432,165.139,14.1779,0.191141,0,0
01-1-000064,62.9436,164.297,19.4175,0.718143,0,0
01-1-000065,62.6793,162.439,11.4943,0.431195,0,0
01-1-000066,62.9494,162.779,17.1482,0.178701,0,0
01-1-000067,62.5341,161.565,10.904,0.864014,0,0
01-1-000068,61.0049,156.089,12.039,0.207672,0,0
01-1-000071,61.5893,152.323,17.6015,0.441556,0,0
01-1-000072,60.4106,152.346,13.6952,0.191669,0,0
01-1-000074,60.6651,148.845,11.8793,0.312335,0,0
01-1-000075,60.3017,149.602,28.243,0.578292,0,0
01-1-000076,60.8359,149.209,11.8373,0.327514,0,0
01-1-000079,62.0931,151.096,10.7144,0.309007,0,0
01-1-000080,61.0747,149.711,14.6535,0.836492,0,0
01-1-000081,61.3245,150.33,13.0378,0.251382,0,0
01-1-000082,63.1666,158.291,11.438,0.23571,0,0
01-1-000083,63.4366,158.451,18.8588,0.472081,0,0
01-1-000085,64.2986,158.376,16.5877,0.284646,0,0
01-1-000086,63.758,157.913,10.7339,0.342768,0,0
01-1-000088,63.7112,161.265,15.6264,0.359213,0,0
01-1-000089,65.0295,172.819,10.0828,0.271922,0,0
01-1-000090,65.937,173.529,17.0807,0.519085,0,0
01-1-000092,65.8326,178.536,22.5347,0.40355,0,0
01-1-000093,65.0896,179.67,14.6638,0.420578,0,0
01-1-000094,65.3442,180.676,11.4185,0.236144,0,0
